Fecha,Municipio,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Cantidad
07/18/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,49,FEMENINO,VIUDO,COLOMBIA,EMPLEADO PARTICULAR,1
07/18/2016 12:00:00 AM,OCAÑA,BARRIO 2 DE OCTUBRE,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,40,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/18/2016 12:00:00 AM,OCAÑA,SECTOR LAS VICENTINAS,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,39,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
07/18/2016 12:00:00 AM,TIBÚ,BARRIO CENTRO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,20,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/19/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,24,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
07/19/2016 12:00:00 AM,TIBÚ,BARRIO EL LIMONCITO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,19,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
07/19/2016 12:00:00 AM,TIBÚ,BARRIO BRISAS DEL CATATUMBO,URBANA,CASAS DE APUESTAS,CONTUNDENTES,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,AMA DE CASA,1
07/20/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,36,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
07/20/2016 12:00:00 AM,CÚCUTA (CT),BARRIO ALTO PAMPLONITA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
07/20/2016 12:00:00 AM,LOS PATIOS,BARRIO TASAJERO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,CONDUCTOR VEHICULO,A PIE,22,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
07/20/2016 12:00:00 AM,OCAÑA,BARRIO CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,40,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,1
07/20/2016 12:00:00 AM,OCAÑA,SECTOR LAS VICENTINAS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,43,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
07/21/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CAMILO DAZA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,32,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
07/21/2016 12:00:00 AM,PAMPLONA,BARRIO MOLINOS EL ZULIA,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,36,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
